idiom,definition
come in,"To enter. To arrive. To become relevant, applicable, or useful. To become available. (of a broadcast, such as radio or television) To have a strong enough signal to be able to be received well. (music) To join or enter; to begin playing with a group. (often imperative) To begin transmitting. To function in the indicated manner. (of a fugitive or a person in hiding) To surrender; to turn oneself in. (intransitive) To give in; to yield. To finish a race or similar competition in a particular position, such as first place, second place, or the like. To finish a race or similar competition in first place. (of the tide) To rise. To become fashionable."
come in from the cold,"To gain widespread acceptance in a group or society, especially where there was not any before."
come in handy,"(idiomatic, informal) To prove to be useful or helpful."
come into,Used other than with a figurative or idiomatic meaning: See come and into. (transitive) To inherit (money). (transitive) To be a factor in. (transitive) To enter the initial phase of; to commence.
come into being,(idiomatic) To form; to start to exist.
come into one's own,"(idiomatic) To reach a stage of development or maturity where one has achieved strength and confidence, economic security, or respect and social acceptance."
come of age,"(idiomatic) To reach a specific age where one is legally considered to be an adult. (idiomatic) To mature, or become fully developed."
come on,Alternative spelling of come-on
come on over,"(intransitive, idiomatic) to visit someone's home or other location."
come online,"(idiomatic) To enter service or become active. (idiomatic) To login to an Internet communication system, such as an instant messenger, online game or forum."
come out,"Used other than with a figurative or idiomatic meaning: see come,‎ out. To be discovered, be revealed. To be published, be issued. This term needs a definition. Please help out and add a definition, then remove the text {{rfdef}}. (old-fashioned or historical) (as a debutante) To make a formal debut in society. To end up or result. (cricket, of a batsman) To walk onto the field at the beginning of an innings. (idiomatic, informal) To come out of the closet. To be deducted from. To express one's opinion openly. (of the sun, moon or stars) To become visible in the sky as a result of clouds clearing away. To go on strike, especially out of solidarity with other workers. To make a debut in a new field."
come out of one's shell,(idiomatic) To become more socially active or gregarious.
come out of the closet,"(intransitive, idiomatic) To tell others about one's homosexuality, bisexuality, transness, or any minority or disapproved-of belief, preference, etc., where previously this had been kept secret."
come out of the woodwork,"(idiomatic, disapproving) to appear or emerge unexpectedly or inexplicably, frequently in large numbers or quantity."
come out swinging,"(idiomatic) To initiate an encounter or interaction by behaving in an unrestrainedly aggressive, confrontational, or accusatory manner. (idiomatic) To display spunk and strength of character, especially when rising above or when fighting back against trouble or adversity."
come thick and fast,(idiomatic) To arrive rapidly in large groups.
come through,"(idiomatic) To survive, to endure. To be communicated or expressed successfully. (intransitive, idiomatic) To succeed. (with an object preceded by the preposition for or with) To not let somebody down, keep or fulfil one's word or promise."
come to,"(intransitive, idiomatic) To recover consciousness after fainting etc. (intransitive, idiomatic, nautical) To stop a sailing vessel, especially by turning into the wind. See also come about. (transitive) To total; to amount to. (transitive) To reach; to arrive at. (transitive) To devote attention to in due course; to come around to. (transitive) To befall; to happen to; to come upon. (transitive, usually in present tense) To regard or specifically pertain to."
come to Jesus,"(idiomatic, Christianity) To experience or display a conversion or recommitment to Christianity or to undergo a related ritual, especially public confession of one's sins or weaknesses. (idiomatic, US) To become committed or display commitment to a cause."
come to a close,(idiomatic) To draw toward a conclusion; to end.
come to a head,"(idiomatic) To rapidly reach a turning point or climax. (idiomatic) To suddenly reveal that which has lain latent for a time. (idiomatic) To suddenly make mature or perfected that which was inchoate or imperfectly formed. (medicine, of an abscess) To reach its final stage."
come to an end,"(idiomatic, intransitive) To stop; to cease; to no longer continue."
come to blows,"(idiomatic) To fight; to initiate physical conflict, especially subsequent to escalating tension or antagonism. (impersonal) To degrade into a fight or physical conflict (in reference to an argument or to a situation of tension or antagonism)."
come to grief,(idiomatic) To have a disastrous outcome.
come to grips with,(idiomatic) To confront or deal with directly; to commence a confrontation.
come to life,"(transitive, idiomatic) to bring back to life; revitalize, revive, resurrect (intransitive, idiomatic) to become alive; to be brought into existence (intransitive, idiomatic) to appear as if alive (intransitive, idiomatic) to start to become energetic."
come to light,(idiomatic) To become known; to be revealed.
come to mind,(idiomatic) To appear in one's thoughts.
come to nothing,(idiomatic) To fail completely; to have no result.
come to one's senses,"(idiomatic) To reawaken after having lost consciousness. (idiomatic) To become reasonable, comprehending, or responsible, especially after having behaved in an unreasonable, uncomprehending, or irresponsible manner."
come to someone's aid,(idiomatic) To assist and rescue someone.
come to someone's rescue,(idiomatic) To rescue (or save) someone from further harm
come to terms,"(idiomatic, of two or more parties, often with a prepositional phrase) to reach an agreement or settle a dispute."
come to terms with,(idiomatic) To resolve a conflict with. (idiomatic) To accept or resign oneself to something emotionally painful
come to the party,"Used other than with a figurative or idiomatic meaning: see come,‎ party. (informal) to agree to an outcome, to get on board."
